train/total_loss,train/logvar,train/kl_loss,train/nll_loss,train/rec_loss,train/d_weight,train/disc_factor,train/g_loss,lr,step,total_steps,timestamp,datetime
1252.41992,0.0,154425.82812,1252.2655,0.01911,5000.0,0.0,-0.4754,0.0,40700,150000,2025-08-15 20:58:32,2025-08-15 20:58:32
2927.1084,0.0,149447.03125,2926.95898,0.04466,5000.0,0.0,-0.3856,0.0,40800,150000,2025-08-15 20:58:51,2025-08-15 20:58:51
1455.90198,0.0,155091.75,1455.74683,0.02221,5000.0,0.0,-0.42526,0.0,40900,150000,2025-08-15 20:59:09,2025-08-15 20:59:09
1557.84387,0.0,150496.15625,1557.69336,0.02377,5000.0,0.0,-0.45775,0.0,41000,150000,2025-08-15 20:59:27,2025-08-15 20:59:27
1274.08606,0.0,155295.42188,1273.93079,0.01944,5000.0,0.0,-0.47566,0.0,41100,150000,2025-08-15 20:59:45,2025-08-15 20:59:45
1732.68945,0.0,144100.35938,1732.54541,0.02644,5000.0,0.0,-0.46553,0.0,41200,150000,2025-08-15 21:00:04,2025-08-15 21:00:04
1124.0459,0.0,151566.42188,1123.89429,0.01715,5000.0,0.0,-0.51769,0.0,41300,150000,2025-08-15 21:00:22,2025-08-15 21:00:22
1613.78796,0.0,151003.0625,1613.63696,0.02462,5000.0,0.0,-0.39445,0.0,41400,150000,2025-08-15 21:00:40,2025-08-15 21:00:40
945.1875,0.0,157421.45312,945.03009,0.01442,5000.0,0.0,-0.45215,0.0,41500,150000,2025-08-15 21:00:59,2025-08-15 21:00:59
2219.93872,0.0,146127.96875,2219.79248,0.03387,5000.0,0.0,-0.44246,0.0,41600,150000,2025-08-15 21:01:17,2025-08-15 21:01:17
1455.57715,0.0,153592.90625,1455.42358,0.02221,5000.0,0.0,-0.43692,0.0,41700,150000,2025-08-15 21:01:35,2025-08-15 21:01:35
1539.78503,0.0,147813.375,1539.63721,0.02349,5000.0,0.0,-0.39872,0.0,41800,150000,2025-08-15 21:01:53,2025-08-15 21:01:53
1646.46741,0.0,152218.65625,1646.31519,0.02512,5000.0,0.0,-0.51622,0.0,41900,150000,2025-08-15 21:02:12,2025-08-15 21:02:12
1874.12451,0.0,151171.53125,1873.97339,0.02859,5000.0,0.0,-0.4289,0.0,42000,150000,2025-08-15 21:02:30,2025-08-15 21:02:30
1947.17126,0.0,151521.0625,1947.01978,0.02971,5000.0,0.0,-0.43384,0.0,42100,150000,2025-08-15 21:02:49,2025-08-15 21:02:49
1637.59314,0.0,148612.5,1637.44458,0.02499,5000.0,0.0,-0.46206,0.0,42200,150000,2025-08-15 21:03:07,2025-08-15 21:03:07
1416.05469,0.0,155510.3125,1415.89917,0.0216,5000.0,0.0,-0.45921,0.0,42300,150000,2025-08-15 21:03:24,2025-08-15 21:03:24
1626.9292,0.0,154282.67188,1626.7749,0.02482,5000.0,0.0,-0.35421,0.0,42400,150000,2025-08-15 21:03:43,2025-08-15 21:03:43
1189.63403,0.0,153762.25,1189.48022,0.01815,5000.0,0.0,-0.40988,0.0,42500,150000,2025-08-15 21:04:01,2025-08-15 21:04:01
1447.08203,0.0,147291.15625,1446.93469,0.02208,5000.0,0.0,-0.48023,0.0,42600,150000,2025-08-15 21:04:19,2025-08-15 21:04:19
1500.30835,0.0,148648.17188,1500.15967,0.02289,5000.0,0.0,-0.44898,0.0,42700,150000,2025-08-15 21:04:38,2025-08-15 21:04:38
2315.38745,0.0,149382.6875,2315.23804,0.03533,5000.0,0.0,-0.36059,0.0,42800,150000,2025-08-15 21:04:56,2025-08-15 21:04:56
1465.0946,0.0,147513.28125,1464.94714,0.02235,5000.0,0.0,-0.43883,0.0,42900,150000,2025-08-15 21:05:14,2025-08-15 21:05:14
1914.36121,0.0,147496.9375,1914.21375,0.02921,5000.0,0.0,-0.44692,0.0,43000,150000,2025-08-15 21:05:33,2025-08-15 21:05:33
1374.22229,0.0,150551.78125,1374.07178,0.02097,5000.0,0.0,-0.46363,0.0,43100,150000,2025-08-15 21:05:51,2025-08-15 21:05:51
1831.13989,0.0,153187.0625,1830.98669,0.02794,5000.0,0.0,-0.46306,0.0,43200,150000,2025-08-15 21:06:09,2025-08-15 21:06:09
2413.73657,0.0,151717.73438,2413.58496,0.03683,5000.0,0.0,-0.38613,0.0,43300,150000,2025-08-15 21:06:28,2025-08-15 21:06:28
1315.68909,0.0,150232.5625,1315.53882,0.02007,5000.0,0.0,-0.40719,0.0,43400,150000,2025-08-15 21:06:46,2025-08-15 21:06:46
1209.96301,0.0,152598.32812,1209.81042,0.01846,5000.0,0.0,-0.52782,0.0,43500,150000,2025-08-15 21:07:05,2025-08-15 21:07:05
2756.98584,0.0,143501.625,2756.84229,0.04207,5000.0,0.0,-0.41319,0.0,43600,150000,2025-08-15 21:07:23,2025-08-15 21:07:23
1747.25647,0.0,148313.90625,1747.10815,0.02666,5000.0,0.0,-0.44566,0.0,43700,150000,2025-08-15 21:07:42,2025-08-15 21:07:42
2084.36328,0.0,145499.9375,2084.21777,0.0318,5000.0,0.0,-0.47468,0.0,43800,150000,2025-08-15 21:08:00,2025-08-15 21:08:00
1488.65894,0.0,152040.54688,1488.50684,0.02271,5000.0,0.0,-0.39286,0.0,43900,150000,2025-08-15 21:08:18,2025-08-15 21:08:18
2181.60571,0.0,152515.6875,2181.45312,0.03329,5000.0,0.0,-0.41094,0.0,44000,150000,2025-08-15 21:08:37,2025-08-15 21:08:37
1323.88159,0.0,151877.53125,1323.72974,0.0202,5000.0,0.0,-0.47277,0.0,44100,150000,2025-08-15 21:08:55,2025-08-15 21:08:55
1412.77209,0.0,151477.53125,1412.62061,0.02155,5000.0,0.0,-0.45172,0.0,44200,150000,2025-08-15 21:09:13,2025-08-15 21:09:13
1380.60681,0.0,150323.45312,1380.45654,0.02106,5000.0,0.0,-0.39054,0.0,44300,150000,2025-08-15 21:09:32,2025-08-15 21:09:32
1258.45508,0.0,158209.5,1258.29688,0.0192,5000.0,0.0,-0.49095,0.0,44400,150000,2025-08-15 21:09:50,2025-08-15 21:09:50
1064.44019,0.0,155052.34375,1064.28516,0.01624,5000.0,0.0,-0.5344,0.0,44500,150000,2025-08-15 21:10:08,2025-08-15 21:10:08
1902.33276,0.0,149194.40625,1902.18359,0.02903,5000.0,0.0,-0.52318,0.0,44600,150000,2025-08-15 21:10:27,2025-08-15 21:10:27
1275.72388,0.0,150859.35938,1275.573,0.01946,5000.0,0.0,-0.40299,0.0,44700,150000,2025-08-15 21:10:45,2025-08-15 21:10:45
1437.48621,0.0,151789.4375,1437.33447,0.02193,5000.0,0.0,-0.44436,0.0,44800,150000,2025-08-15 21:11:03,2025-08-15 21:11:03
1569.3866,0.0,153404.875,1569.23315,0.02394,5000.0,0.0,-0.38842,0.0,44900,150000,2025-08-15 21:11:22,2025-08-15 21:11:22
1679.4314,0.0,148246.6875,1679.2832,0.02562,5000.0,0.0,-0.40845,0.0,45000,150000,2025-08-15 21:11:42,2025-08-15 21:11:42
1622.13196,0.0,148597.75,1621.9834,0.02475,5000.0,0.0,-0.45153,0.0,45100,150000,2025-08-15 21:12:00,2025-08-15 21:12:00
1579.89429,0.0,147570.6875,1579.7467,0.02411,5000.0,0.0,-0.46555,0.0,45200,150000,2025-08-15 21:12:19,2025-08-15 21:12:19
1696.41138,0.0,149374.0,1696.26196,0.02588,5000.0,0.0,-0.53822,0.0,45300,150000,2025-08-15 21:12:37,2025-08-15 21:12:37
1784.76416,0.0,159531.78125,1784.60461,0.02723,5000.0,0.0,-0.33091,0.0,45400,150000,2025-08-15 21:12:56,2025-08-15 21:12:56
1546.39368,0.0,149440.21875,1546.24426,0.02359,5000.0,0.0,-0.46186,0.0,45500,150000,2025-08-15 21:13:14,2025-08-15 21:13:14
1654.49902,0.0,150887.59375,1654.34814,0.02524,5000.0,0.0,-0.51544,0.0,45600,150000,2025-08-15 21:13:33,2025-08-15 21:13:33
1493.33594,0.0,147386.8125,1493.1886,0.02278,5000.0,0.0,-0.5322,0.0,45700,150000,2025-08-15 21:13:51,2025-08-15 21:13:51
1238.50012,0.0,150818.21875,1238.34924,0.0189,5000.0,0.0,-0.46436,0.0,45800,150000,2025-08-15 21:14:09,2025-08-15 21:14:09
1740.38599,0.0,154845.03125,1740.2312,0.02655,5000.0,0.0,-0.41104,0.0,45900,150000,2025-08-15 21:14:28,2025-08-15 21:14:28
1924.25708,0.0,148587.46875,1924.10852,0.02936,5000.0,0.0,-0.4119,0.0,46000,150000,2025-08-15 21:14:46,2025-08-15 21:14:46
1881.43469,0.0,147115.75,1881.2876,0.02871,5000.0,0.0,-0.4262,0.0,46100,150000,2025-08-15 21:15:05,2025-08-15 21:15:05
1003.06213,0.0,157264.65625,1002.90485,0.0153,5000.0,0.0,-0.41356,0.0,46200,150000,2025-08-15 21:15:23,2025-08-15 21:15:23
1689.17883,0.0,150962.34375,1689.02783,0.02577,5000.0,0.0,-0.3708,0.0,46300,150000,2025-08-15 21:15:41,2025-08-15 21:15:41
1727.11816,0.0,149349.90625,1726.96887,0.02635,5000.0,0.0,-0.38729,0.0,46400,150000,2025-08-15 21:15:59,2025-08-15 21:15:59
1602.10986,0.0,156508.15625,1601.95337,0.02444,5000.0,0.0,-0.50817,0.0,46500,150000,2025-08-15 21:16:18,2025-08-15 21:16:18
1367.30225,0.0,148379.3125,1367.15381,0.02086,5000.0,0.0,-0.45503,0.0,46600,150000,2025-08-15 21:16:36,2025-08-15 21:16:36
1327.3855,0.0,151821.60938,1327.23364,0.02025,5000.0,0.0,-0.47865,0.0,46700,150000,2025-08-15 21:16:54,2025-08-15 21:16:54
1518.54272,0.0,158956.875,1518.38379,0.02317,5000.0,0.0,-0.36703,0.0,46800,150000,2025-08-15 21:17:12,2025-08-15 21:17:12
1961.25708,0.0,150588.40625,1961.10645,0.02992,5000.0,0.0,-0.37606,0.0,46900,150000,2025-08-15 21:17:31,2025-08-15 21:17:31
1640.71985,0.0,152241.32812,1640.56763,0.02503,5000.0,0.0,-0.43382,0.0,47000,150000,2025-08-15 21:17:49,2025-08-15 21:17:49
1724.62415,0.0,150852.53125,1724.47327,0.02631,5000.0,0.0,-0.4109,0.0,47100,150000,2025-08-15 21:18:07,2025-08-15 21:18:07
1392.36719,0.0,147538.5625,1392.2196,0.02124,5000.0,0.0,-0.41954,0.0,47200,150000,2025-08-15 21:18:26,2025-08-15 21:18:26
1285.65393,0.0,151978.78125,1285.50195,0.01962,5000.0,0.0,-0.49404,0.0,47300,150000,2025-08-15 21:18:44,2025-08-15 21:18:44
1161.00354,0.0,158258.96875,1160.84534,0.01771,5000.0,0.0,-0.47638,0.0,47400,150000,2025-08-15 21:19:03,2025-08-15 21:19:03
1774.15417,0.0,149034.82812,1774.00513,0.02707,5000.0,0.0,-0.44225,0.0,47500,150000,2025-08-15 21:19:21,2025-08-15 21:19:21
1290.22461,0.0,153071.15625,1290.07153,0.01968,5000.0,0.0,-0.50919,0.0,47600,150000,2025-08-15 21:19:40,2025-08-15 21:19:40
2363.14819,0.0,159824.0,2362.98828,0.03606,5000.0,0.0,-0.47503,0.0,47700,150000,2025-08-15 21:19:58,2025-08-15 21:19:58
1943.1095,0.0,151244.64062,1942.95825,0.02965,5000.0,0.0,-0.4591,0.0,47800,150000,2025-08-15 21:20:16,2025-08-15 21:20:16
2022.66943,0.0,148993.78125,2022.52039,0.03086,5000.0,0.0,-0.47006,0.0,47900,150000,2025-08-15 21:20:35,2025-08-15 21:20:35
867.96686,0.0,153840.3125,867.81299,0.01324,5000.0,0.0,-0.49246,0.0,48000,150000,2025-08-15 21:20:53,2025-08-15 21:20:53
1130.67493,0.0,152721.875,1130.52222,0.01725,5000.0,0.0,-0.50634,0.0,48100,150000,2025-08-15 21:21:11,2025-08-15 21:21:11
1705.23669,0.0,155836.04688,1705.08081,0.02602,5000.0,0.0,-0.47529,0.0,48200,150000,2025-08-15 21:21:30,2025-08-15 21:21:30
